"Sex","Yr","date","yday","Site","Mass"
1,1995,1995-05-19,139,"Texel",250
1,1995,1995-05-19,139,"Texel",334
1,1995,1995-05-19,139,"Texel",300
1,1995,1995-05-19,139,"Texel",324
1,1995,1995-05-19,139,"Texel",297
1,1995,1995-05-19,139,"Texel",284
1,1995,1995-05-19,139,"Texel",228
2,1995,1995-05-19,139,"Texel",425
2,1995,1995-05-19,139,"Texel",375
2,1995,1995-05-19,139,"Texel",360
2,1995,1995-05-19,139,"Texel",375
2,1995,1995-05-19,139,"Texel",281
2,1995,1995-05-19,139,"Texel",355
2,1995,1995-05-19,139,"Texel",381
2,1995,1995-05-19,139,"Texel",300
2,1995,1995-05-19,139,"Texel",350
2,1995,1995-05-19,139,"Texel",317
2,1995,1995-05-19,139,"Texel",275
2,1995,1995-05-19,139,"Texel",405
2,1995,1995-05-19,139,"Texel",360
2,1995,1995-05-19,139,"Texel",313
2,1995,1995-05-19,139,"Texel",350
2,1995,1995-05-19,139,"Texel",305
2,1995,1995-05-19,139,"Texel",358
2,1995,1995-05-19,139,"Texel",330
2,1995,1995-05-19,139,"Texel",368
2,1995,1995-05-19,139,"Texel",340
2,1995,1995-05-19,139,"Texel",365
2,1995,1995-05-19,139,"Texel",315
2,1995,1995-05-19,139,"Texel",278
2,1995,1995-05-19,139,"Texel",305
2,1995,1995-05-19,139,"Texel",330
2,1995,1995-05-19,139,"Texel",383
2,1995,1995-05-19,139,"Texel",285
2,1995,1995-05-19,139,"Texel",275
2,1995,1995-05-19,139,"Texel",300
2,1995,1995-05-19,139,"Texel",265
1,1995,1995-05-19,139,"Texel",284
1,1995,1995-05-19,139,"Texel",290
1,1995,1995-05-19,139,"Texel",248
1,1995,1995-05-19,139,"Texel",238
1,1995,1995-05-19,139,"Texel",232
1,1995,1995-05-19,139,"Texel",220
1,1995,1995-05-19,139,"Texel",270
1,1995,1995-05-19,139,"Texel",236
1,1995,1995-05-19,139,"Texel",312
1,1995,1995-05-19,139,"Texel",297
1,1995,1995-05-19,139,"Texel",263
1,1995,1995-05-19,139,"Texel",313
1,1995,1995-05-19,139,"Texel",397
1,1995,1995-05-19,139,"Texel",225
1,1995,1995-05-19,139,"Texel",228
1,1995,1995-05-19,139,"Texel",260
1,1995,1995-05-19,139,"Texel",268
1,1995,1995-05-19,139,"Texel",338
1,1995,1995-05-20,140,"Friese_kust",298
1,1995,1995-05-20,140,"Friese_kust",336
2,1995,1995-05-20,140,"Friese_kust",327
2,1995,1995-05-20,140,"Friese_kust",370
2,1995,1995-05-20,140,"Friese_kust",297
2,1995,1995-05-20,140,"Friese_kust",440
2,1995,1995-05-20,140,"Friese_kust",263
1,1995,1995-05-22,142,"Texel",270
1,1995,1995-05-22,142,"Texel",258
1,1995,1995-05-22,142,"Texel",250
1,1995,1995-05-22,142,"Texel",335
1,1995,1995-05-22,142,"Texel",317
1,1995,1995-05-22,142,"Texel",340
2,1995,1995-05-22,142,"Texel",390
2,1995,1995-05-22,142,"Texel",410
2,1995,1995-05-22,142,"Texel",398
2,1995,1995-05-22,142,"Texel",360
2,1995,1995-05-22,142,"Texel",400
2,1995,1995-05-22,142,"Texel",325
2,1995,1995-05-22,142,"Texel",466
2,1995,1995-05-22,142,"Texel",345
2,1995,1995-05-22,142,"Texel",326
2,1995,1995-05-22,142,"Texel",250
2,1995,1995-05-22,142,"Texel",396
2,1995,1995-05-22,142,"Texel",350
2,1995,1995-05-22,142,"Texel",320
2,1995,1995-05-22,142,"Texel",438
2,1995,1995-05-22,142,"Texel",452
2,1995,1995-05-22,142,"Texel",418
2,1995,1995-05-22,142,"Texel",400
2,1995,1995-05-22,142,"Texel",298
2,1995,1995-05-22,142,"Texel",415
2,1995,1995-05-22,142,"Texel",362
1,1995,1995-05-22,142,"Texel",285
1,1995,1995-05-22,142,"Texel",357
1,1995,1995-05-22,142,"Texel",314
1,1995,1995-05-22,142,"Texel",330
1,1995,1995-05-22,142,"Texel",286
1,1995,1995-05-22,142,"Friese_kust",260
1,1995,1995-05-22,142,"Friese_kust",240
2,1995,1995-05-22,142,"Friese_kust",367
2,1995,1995-05-22,142,"Friese_kust",387
1,1995,1995-05-22,142,"Friese_kust",296
2,1995,1995-05-23,143,"Friese_kust",310
2,1995,1995-05-23,143,"Friese_kust",332
1,1995,1995-05-24,144,"Texel",363
1,1995,1995-05-24,144,"Texel",348
2,1995,1995-05-24,144,"Texel",421
2,1995,1995-05-24,144,"Texel",294
2,1995,1995-05-24,144,"Texel",520
2,1995,1995-05-24,144,"Texel",444
1,1995,1995-05-24,144,"Texel",314
1,1995,1995-05-24,144,"Texel",360
1,1995,1995-05-25,145,"Texel",340
1,1995,1995-05-25,145,"Texel",225
1,1995,1995-05-25,145,"Texel",372
1,1995,1995-05-25,145,"Texel",364
1,1995,1995-05-25,145,"Texel",271
1,1995,1995-05-25,145,"Texel",347
1,1995,1995-05-25,145,"Texel",278
1,1995,1995-05-25,145,"Texel",380
1,1995,1995-05-25,145,"Texel",277
2,1995,1995-05-25,145,"Texel",307
2,1995,1995-05-25,145,"Texel",450
2,1995,1995-05-25,145,"Texel",435
2,1995,1995-05-25,145,"Texel",444
1,1995,1995-05-25,145,"Texel",368
1,1995,1995-05-25,145,"Texel",320
1,1995,1995-05-25,145,"Texel",315
1,1995,1995-05-25,145,"Texel",335
1,1995,1995-05-25,145,"Texel",364
1,1995,1995-05-25,145,"Texel",375
1,1995,1995-05-27,147,"Texel",380
2,1995,1995-05-27,147,"Texel",374
2,1995,1995-05-27,147,"Texel",353
2,1995,1995-05-27,147,"Texel",452
2,1995,1995-05-27,147,"Texel",416
2,1995,1995-05-27,147,"Texel",284
2,1995,1995-05-27,147,"Texel",412
2,1995,1995-05-27,147,"Texel",445
2,1995,1995-05-27,147,"Texel",472
2,1995,1995-05-27,147,"Texel",405
2,1995,1995-05-27,147,"Texel",461
2,1995,1995-05-27,147,"Texel",464
2,1995,1995-05-27,147,"Texel",468
2,1995,1995-05-27,147,"Texel",484
2,1995,1995-05-27,147,"Texel",365
2,1995,1995-05-27,147,"Texel",351
2,1995,1995-05-27,147,"Texel",404
2,1995,1995-05-27,147,"Texel",247
2,1995,1995-05-27,147,"Texel",456
2,1995,1995-05-27,147,"Texel",400
1,1995,1995-05-27,147,"Texel",256
1,1995,1995-05-27,147,"Texel",348
1,1995,1995-05-27,147,"Texel",362
1,1995,1995-05-27,147,"Texel",302
1,1995,1995-05-27,147,"Texel",360
1,1995,1995-05-27,147,"Texel",360
1,1995,1995-05-27,147,"Texel",325
1,1995,1995-05-29,149,"Texel",350
1,1995,1995-05-29,149,"Texel",438
1,1995,1995-05-29,149,"Texel",382
1,1995,1995-05-29,149,"Texel",253
1,1995,1995-05-29,149,"Texel",263
1,1995,1995-05-29,149,"Texel",375
1,1995,1995-05-29,149,"Texel",368
1,1995,1995-05-29,149,"Texel",432
1,1995,1995-05-29,149,"Texel",340
2,1995,1995-05-29,149,"Texel",477
2,1995,1995-05-29,149,"Texel",438
2,1995,1995-05-29,149,"Texel",416
2,1995,1995-05-29,149,"Texel",443
2,1995,1995-05-29,149,"Texel",425
2,1995,1995-05-29,149,"Texel",420
2,1995,1995-05-29,149,"Texel",440
2,1995,1995-05-29,149,"Texel",545
2,1995,1995-05-29,149,"Texel",430
2,1995,1995-05-29,149,"Texel",441
2,1995,1995-05-29,149,"Texel",442
2,1995,1995-05-29,149,"Texel",424
2,1995,1995-05-29,149,"Texel",436
1,1995,1995-05-29,149,"Texel",368
1,1995,1995-05-29,149,"Texel",260
1,1995,1995-05-29,149,"Texel",265
1,1995,1995-05-29,149,"Texel",373
1,1995,1995-05-30,150,"Texel",421
1,1995,1995-05-30,150,"Texel",388
1,1995,1995-05-30,150,"Texel",247
