"Site","countdate","d","m","Year","obshours","south","north","Date","Duration","count_per_hour","yday"
429,"2005-05-06",6,5,2005,"03:00:00",0,26,2005-05-06,3,8.66666666666667,126
159,"2005-04-17",17,4,2005,"02:00:00",0,1,2005-04-17,2,0.5,107
429,"2005-04-11",11,4,2005,"01:00:00",0,1,2005-04-11,1,1,101
71,"2005-05-18",18,5,2005,"06:00:00",0,12,2005-05-18,6,2,138
29,"2005-04-17",17,4,2005,"04:00:00",0,15,2005-04-17,4,3.75,107
429,"2005-04-21",21,4,2005,"02:00:00",0,17,2005-04-21,2,8.5,111
159,"2005-05-09",9,5,2005,"02:00:00",0,38,2005-05-09,2,19,129
29,"2005-05-09",9,5,2005,"09:00:00",0,22,2005-05-09,9,2.44444444444444,129
1,"2005-05-11",11,5,2005,"05:00:00",0,39,2005-05-11,5,7.8,131
1,"2005-05-21",21,5,2005,"06:30:00",0,2,2005-05-21,6.5,0.307692307692308,141
97,"2005-04-22",22,4,2005,"02:00:00",0,1,2005-04-22,2,0.5,112
1,"2005-04-15",15,4,2005,"01:00:00",0,17,2005-04-15,1,17,105
97,"2005-04-27",27,4,2005,"01:00:00",0,1,2005-04-27,1,1,117
1,"2005-05-01",1,5,2005,"10:30:00",0,2,2005-05-01,10.5,0.19047619047619,121
1,"2005-05-19",19,5,2005,"07:45:00",0,16,2005-05-19,7.75,2.06451612903226,139
1,"2005-05-03",3,5,2005,"03:00:00",0,18,2005-05-03,3,6,123
159,"2005-04-19",19,4,2005,"02:00:00",0,1,2005-04-19,2,0.5,109
29,"2005-05-16",16,5,2005,"06:00:00",0,67,2005-05-16,6,11.1666666666667,136
159,"2005-05-16",16,5,2005,"03:00:00",0,12,2005-05-16,3,4,136
71,"2005-05-14",14,5,2005,"14:00:00",0,138,2005-05-14,14,9.85714285714286,134
252,"2005-05-01",1,5,2005,"01:00:00",0,1,2005-05-01,1,1,121
159,"2005-05-08",8,5,2005,"03:00:00",0,254,2005-05-08,3,84.6666666666667,128
71,"2005-05-01",1,5,2005,"05:00:00",0,4,2005-05-01,5,0.8,121
29,"2005-05-08",8,5,2005,"04:00:00",0,57,2005-05-08,4,14.25,128
1,"2005-04-28",28,4,2005,"10:00:00",0,11,2005-04-28,10,1.1,118
252,"2005-05-14",14,5,2005,"12:00:00",0,255,2005-05-14,12,21.25,134
71,"2005-05-21",21,5,2005,"01:00:00",0,0,2005-05-21,1,0,141
71,"2005-05-11",11,5,2005,"12:00:00",0,122,2005-05-11,12,10.1666666666667,131
252,"2005-04-23",23,4,2005,"06:00:00",0,70,2005-04-23,6,11.6666666666667,113
97,"2005-04-19",19,4,2005,"02:00:00",0,11,2005-04-19,2,5.5,109
71,"2005-05-15",15,5,2005,"29:15:00",3,704,2005-05-15,29.25,24.1709401709402,135
