code,ch,SEX
L5RBBB,000000000010100,f
L5RBBL,000000000011010,m
L5RBBR,000000000011000,m
L5RBBY,000000000010000,m
L5RBLB,000000000010000,f
L5RBLL,000000000010001,f
L5RBLR,000000000011110,f
L5RBLY,000000000011111,m
L5RBRB,000000000010000,f
L5RBRL,000000000010000,f
L5RBRR,000000000010010,f
L5RBRY,000000000011011,f
L5RBYB,000000000010111,f
L5RBYL,000000000010001,f
L5RBYR,000000000011101,f
L5RBYY,000000000010001,m
L5RLBB,000000000010000,f
L5RLBL,000000000010000,f
L5RLBR,000000000010000,m
L5RLBY,000000000010101,m
L5RLLB,000000000010000,f
L5RLLL,000000000010000,m
L5RLLR,000000000010100,f
L5RLLY,000000000010000,f
L5RLRB,000000000010000,f
L5RLRL,000000000010000,f
L5RLRR,000000000011010,f
L5RLRY,000000000010000,f
L5RLYB,000000000010011,f
L5RLYL,000000000010000,f
L5RLYR,000000000011010,f
L5RLYY,000000000010001,m
L5RRBB,000000000010000,f
L5RRBL,000000000010000,m
L5RRBR,000000000010000,m
L5RRBY,000000000010001,f
L5RRLB,000000000010011,f
L5RRLL,000000000011000,f
L5RRLR,000000000010000,f
L5RRLY,000000000010001,f
L5RRRB,000000000011000,f
L5RRRL,000000000010010,f
L5RRRR,000000000010011,f
L5RRRY,000000000010110,m
L5RRYB,000000000010010,f
L5RRYL,000000000010000,f
L5RRYR,000000000010000,f
L5RRYY,000000000010100,f
L5RYBB,000000000010100,m
L5RYBL,000000000010000,m
L5RYBR,000000000010000,f
L5RYBY,000000000011010,m
L5RYLB,000000000010000,m
L5RYLL,000000000010110,f
L5RYLR,000000000010000,m
L5RYLY,000000000010000,m
L5RYRB,000000000010100,m
L5RYRL,000000000010101,f
L5RYRR,000000000010100,f
L5RYRY,000000000010000,f
L5RYYB,000000000010000,m
L5RYYL,000000000010100,f
L5RYYR,000000000010000,f
L5RYYY,000000000010000,f
L5YBBB,000000000010010,f
L5YBBL,000000000010000,m
L5YBBR,000000000010000,f
L5YBBY,000000000010000,m
L5YBLL,000000000010000,f
L5YBLY,000000000010000,f
L5YBRB,000000000010100,f
L5YBRL,000000000010000,f
L5YBRR,000000000010000,f
L5YBRY,000000000010101,f
L5YBYB,000000000010010,f
L5YBYR,000000000010000,f
L5YBYY,000000000010011,m
L5YLBB,000000000010000,m
L5YLBL,000000000010000,f
L5YLBR,000000000010111,f
L5YLBY,000000000010001,f
L5YLLB,000000000010000,f
L5YLLL,000000000010011,m
L5YLLR,000000000011000,f
L5YLLY,000000000010010,f
L5YLRB,000000000011000,f
L5YLRL,000000000010010,f
L5YLRR,000000000010000,m
L5YLRY,000000000010110,f
L5YLYB,000000000010000,f
L5YLYL,000000000011101,f
L5YLYR,000000000011000,f
L5YRBB,000000000010001,m
L5YRBL,000000000010010,m
L5YRBR,000000000010001,f
L5YRBY,000000000011000,m
L5YRLB,000000000011111,f
L5YRLL,000000000010000,m
L5YRLR,000000000010000,f
L5YRLY,000000000010100,f
L5YRRB,000000000010001,f
L5YRRL,000000000010001,f
L5YRRR,000000000010000,m
L5YRRY,000000000011110,m
L5YRYB,000000000010000,f
L5YRYL,000000000010111,f
L5YRYR,000000000010000,f
L5YRYY,000000000010011,f
L5YYBB,000000000010000,m
L5YYBL,000000000010111,f
L5YYBR,000000000010000,m
L5YYBY,000000000010011,f
L5YYLB,000000000010000,f
L5YYLL,000000000011111,f
L5YYLR,000000000010100,m
L5YYLY,000000000010111,f
L5YYRB,000000000010100,f
L5YYRL,000000000010101,f
L5YYRR,000000000010000,m
L5YYRY,000000000010001,f
L5YYYB,000000000010000,m
L5YYYL,000000000010000,f
L5YYYR,000000000010000,m
L5YYYY,000000000010000,f
L6BLBB,000000000000100,m
L6BLBL,000000000000100,f
L6BLBR,000000000000101,f
L6BLBY,000000000000110,f
L6BLRB,000000000000110,f
L6BLRL,000000000000100,f
L6BLRY,000000000000100,m
L6BRBB,000000000000100,m
L6BRBL,000000000000100,f
L6BRBR,000000000000101,f
